00:10:18.678 [mini-cluster-io-thread-5] INFO  o.a.f.r.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.dispatcher.StandaloneDispatcher at akka://flink/user/rpc/dispatcher_2 .
00:10:18.690 [mini-cluster-io-thread-5] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/dispatcher_2 , session=1d311b04-e82d-480a-b78e-a8fee2ce6979
00:10:18.697 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.r.taskexecutor.TaskExecutor - Resolved ResourceManager address, beginning registration
00:10:18.702 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.r.StandaloneResourceManager - Registering TaskManager with ResourceID 02510612-2a12-4ddc-a816-2fafc6b54d9d (akka://flink/user/rpc/taskmanager_0) at ResourceManager
00:10:18.704 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Successful registration at resource manager akka://flink/user/rpc/resourcemanager_1 under registration id 6c39764c35e031ee05a1b4502ad1171d.
00:10:18.706 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.d.StandaloneDispatcher - Received JobGraph submission 8abb9e845457693f5cc4b6881deb3b6d (Flink Streaming Job).
00:10:18.706 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.d.StandaloneDispatcher - Submitting job 8abb9e845457693f5cc4b6881deb3b6d (Flink Streaming Job).
00:10:18.728 [mini-cluster-io-thread-12] INFO  o.a.f.r.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.jobmaster.JobMaster at akka://flink/user/rpc/jobmanager_3 .
00:10:18.735 [mini-cluster-io-thread-12] INFO  o.a.f.runtime.jobmaster.JobMaster - Initializing job Flink Streaming Job (8abb9e845457693f5cc4b6881deb3b6d).
00:10:18.752 [mini-cluster-io-thread-12] INFO  o.a.f.runtime.jobmaster.JobMaster - Using restart back off time strategy FixedDelayRestartBackoffTimeStrategy(maxNumberRestartAttempts=3, backoffTimeMS=3000) for Flink Streaming Job (8abb9e845457693f5cc4b6881deb3b6d).
00:10:18.792 [mini-cluster-io-thread-12] INFO  o.a.f.runtime.jobmaster.JobMaster - Running initialization on master for job Flink Streaming Job (8abb9e845457693f5cc4b6881deb3b6d).
00:10:18.792 [mini-cluster-io-thread-12] INFO  o.a.f.runtime.jobmaster.JobMaster - Successfully ran initialization on master in 0 ms.
00:10:18.813 [mini-cluster-io-thread-12] INFO  o.a.f.r.s.a.DefaultExecutionTopology - Built 1 pipelined regions in 1 ms
00:10:18.822 [mini-cluster-io-thread-12] INFO  o.a.f.runtime.jobmaster.JobMaster - Using job/cluster config to configure application-defined state backend: MemoryStateBackend (data in heap memory / checkpoints to JobManager) (checkpoints: 'null', savepoints: 'null', asynchronous: UNDEFINED, maxStateSize: 5242880)
00:10:18.822 [mini-cluster-io-thread-12] INFO  o.a.f.runtime.jobmaster.JobMaster - Using application-defined state backend: MemoryStateBackend (data in heap memory / checkpoints to JobManager) (checkpoints: 'null', savepoints: 'null', asynchronous: TRUE, maxStateSize: 5242880)
00:10:18.834 [mini-cluster-io-thread-12] INFO  o.a.f.r.c.CheckpointCoordinator - No checkpoint found during restore.
00:10:18.835 [mini-cluster-io-thread-12] INFO  o.a.f.runtime.jobmaster.JobMaster - Using failover strategy org.apache.flink.runtime.executiongraph.failover.flip1.RestartPipelinedRegionFailoverStrategy@33477b05 for Flink Streaming Job (8abb9e845457693f5cc4b6881deb3b6d).
00:10:18.844 [mini-cluster-io-thread-12] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService - Proposing leadership to contender akka://flink/user/rpc/jobmanager_3
00:10:18.845 [mini-cluster-io-thread-14] INFO  o.a.f.r.j.JobManagerRunnerImpl - JobManager runner for job Flink Streaming Job (8abb9e845457693f5cc4b6881deb3b6d) was granted leadership with session id 565e6fa2-c6dc-43c7-913c-02bf38e998ce at akka://flink/user/rpc/jobmanager_3.
00:10:18.847 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.runtime.jobmaster.JobMaster - Starting execution of job Flink Streaming Job (8abb9e845457693f5cc4b6881deb3b6d) under job master id 913c02bf38e998ce565e6fa2c6dc43c7.
00:10:18.849 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.runtime.jobmaster.JobMaster - Starting scheduling with scheduling strategy [org.apache.flink.runtime.scheduler.strategy.PipelinedRegionSchedulingStrategy]
00:10:18.849 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Job Flink Streaming Job (8abb9e845457693f5cc4b6881deb3b6d) switched from state CREATED to RUNNING.
00:10:18.857 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Source: Socket Stream (1/1) (95d1838fbe305a1d0f370a00c1958d08) switched from CREATED to SCHEDULED.
00:10:18.857 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Map (1/8) (6100b031bd295b3fed032ec96df6747d) switched from CREATED to SCHEDULED.
00:10:18.857 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Map (2/8) (0143af4236b871a4af7f897515297aaa) switched from CREATED to SCHEDULED.
00:10:18.857 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Map (3/8) (b65c0df90c42c1c1e464b6273a4a8339) switched from CREATED to SCHEDULED.
00:10:18.857 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Map (4/8) (8b08a68a183cd8ec7be9bef71198812e) switched from CREATED to SCHEDULED.
00:10:18.857 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Map (5/8) (41870ba9bd8e0c9bf98c5d17756f8b3b) switched from CREATED to SCHEDULED.
00:10:18.857 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Map (6/8) (e5c1a851d66e18d0efb9a83782df6151) switched from CREATED to SCHEDULED.
00:10:18.857 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Map (7/8) (31d997c2f6d9b1d47047d82b9cac377a) switched from CREATED to SCHEDULED.
00:10:18.858 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Map (8/8) (5f2779c9cf51fd223797fccd5210d9e5) switched from CREATED to SCHEDULED.
00:10:18.858 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Keyed Aggregation -> Sink: Print to Std. Out (1/8) (6dbec744ff6625a6a440d01c3c767e42) switched from CREATED to SCHEDULED.
00:10:18.858 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Keyed Aggregation -> Sink: Print to Std. Out (2/8) (83336ae4c3c57f27679206abf5c7d650) switched from CREATED to SCHEDULED.
00:10:18.858 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Keyed Aggregation -> Sink: Print to Std. Out (3/8) (e719a234448bed004651c241454a37b3) switched from CREATED to SCHEDULED.
00:10:18.858 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Keyed Aggregation -> Sink: Print to Std. Out (4/8) (c4b46ada75618016230c0ab31440ed0a) switched from CREATED to SCHEDULED.
00:10:18.858 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Keyed Aggregation -> Sink: Print to Std. Out (5/8) (25c7001b45218005ee667117834c0441) switched from CREATED to SCHEDULED.
